Site Name,Code,Floor Area (sq mtrs),Account Number,kWh,Cost(£)
Annfield Plain Library,0922S01,439,6224653442,"13,123","5,404.60"
Barnard Castle Library (new)/C.A.P building,0923S01,554,6813747837,"22,307","8,685.90"
Belmont Library,0949,227,3259115544,"9,624","4,074.47"
Bishop Auckland Town Hall & Library,90178S01,2339,9807370102,"144,437","56,822.10"
Blackhall Colliery Library,0925,152,4353180729,"5,365","2,288.41"
Bowburn Library,0951,172,7227010288,"4,992","2,326.10"
Brandon Library,0926,165.16,6204142055,"6,554","2,696.67"
Brandon Library,0926,165.16,8088384622,"16,222","7,000.38"
Chester le Street Library,0927S01,536,4385863846,"17,867","7,553.82"
Chilton Library,0953,165,2484621331,"5,395","2,434.42"
Clayport Library,3309S01,1660,5413795222,"100,385","40,458.83"
Consett Library,0928S01,449,8420990777,"9,601","4,098.00"
Easington Colliery Library,0960,157,1860277590,"5,950","2,699.50"
Ferryhill Library,0931,190,0653849117,"6,154","2,721.76"
Horden Library,0932,213,5550660294,"7,222","2,927.01"
Lanchester Library,0957,227,1423943881,"3,944","1,917.94"
Murton Library,0933,176,5595934966,"5,269","2,448.03"
Newton Hall Library,0952S01,303,8726943157,"6,463","2,847.07"
Pelton Library (New),30302S01,304,0699332564,"13,308","5,931.72"
Sacriston Library,0945,142,1285240464,"5,089","2,388.99"
Sedgefield Library,0950,204,1802724060,"8,595","3,627.22"
Shildon Library,0937S01,353,5768745887,"13,940","5,478.19"
Shotton Library,0938,197,3434628161,"7,386","3,244.16"
South Moor Library,0956,202,7905153611,"6,889","3,056.83"
Spennymoor Library   - closed,0939,419,3008276997,"3,871","1,810.17"
Thornley Library,0946,151,7732764042,"6,297","2,794.46"
Trimdon  Library,3371,150,5195525034,"7,839","3,368.97"
West Cornforth Library,0959,190,7903802497,"6,945","3,022.10"
Willington Library,0942,285,3666864955,"8,520","3,642.12"
Wingate Library,3310,180,4673419107,"5,542","2,523.43"
Wolsingham Library,0958,141,2366673081,"3,695","1,706.75"
Woodhouse Close Library,0948,211,2731322655,"7,947","3,437.92"
32,,,,"496,737","205,438.03"
